ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
115-04-4507|4218196001337|Kathy|Johnson|F|863 Lawrence Valleys|Philadelphia|PA|19114|40.0634|-74.999|1526206|Accounting technician|2003-10-03|888022315787|young_adults_female_urban.json
715-55-5575|4351161559407816183|Elaine|Fuller|F|310 Kendra Common Apt. 164|Clarksville|TN|37040|36.522|-87.349|151785|Professor Emeritus|1973-06-07|917558277935|adults_2550_female_urban.json
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Glen Oaks|NY|11004|40.7481|-73.7114|14016|International aid/development worker|2000-05-30|718172762479|young_adults_male_urban.json
406-83-7518|4238849696532874|Ann|Williams|F|26916 Carlson Mountain|Albuquerque|NM|87109|35.1506|-106.569|641349|Seismic interpreter|1983-12-26|947268892251|adults_2550_female_urban.json
697-93-1877|4514627048281480|Lisa|Hernandez|F|809 Burns Creek|Pico Rivera|CA|90660|33.9886|-118.0883|62928|Medical laboratory scientific officer|1946-05-22|888335239225|adults_50up_female_urban.json
246-08-3947|3517182278248964|Vincent|Hickman|M|465 Lam Mission|Lindale|TX|75771|32.5062|-95.4006|18361|Community arts worker|1947-06-18|245877882397|adults_50up_male_urban.json
347-03-9639|213193010310510|Jose|Ramirez|M|82997 Kristen Valley Suite 311|Mountain View|CA|94043|37.4056|-122.0775|74646|Plant breeder/geneticist|1993-03-06|465378164447|adults_2550_male_urban.json
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Springdale|AR|72764|36.1716|-94.0428|85572|Quarry manager|1965-12-27|950105810049|adults_50up_male_urban.json
061-22-6210|630447468723|Cheryl|Robinson|F|805 Brendan Neck|San Francisco|CA|94158|37.7694|-122.3867|805301|Retail buyer|1994-08-23|940251608167|adults_2550_female_urban.json
162-08-8321|2222913619399092|Bradley|Sandoval|M|3534 Anderson Rue Suite 751|Milwaukee|WI|53228|42.9676|-88.0434|817312|Acupuncturist|1988-01-26|684868121383|adults_2550_male_urban.json
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|Ottumwa|IA|52501|41.0309|-92.4098|30220|Surgeon|1955-02-26|297020387114|adults_50up_male_urban.json
620-27-5618|4874016400529|Mandy|Green|F|680 Charles Spurs Apt. 805|Porterville|CA|93257|36.0686|-119.0315|77050|Television floor manager|1998-08-02|161286867170|young_adults_female_urban.json
131-06-5051|345331586923222|Sierra|Johnson|F|3421 Brennan Walks Suite 337|Butler|PA|16001|40.8859|-79.934|56248|Maintenance engineer|1997-08-16|903253916954|adults_2550_female_urban.json
229-04-3165|6541458685014295|Tonya|Baker|F|655 Obrien Pass|Torrance|CA|90502|33.8286|-118.292|174353|Commercial art gallery manager|1990-09-29|989496879843|adults_2550_female_urban.json
195-33-0728|3508835615951480|Eric|Ortiz|M|482 Robert Light Apt. 994|Poughkeepsie|NY|12601|41.7035|-73.9117|86794|Optician, dispensing|1947-08-14|917181406434|adults_50up_male_urban.json
312-37-3444|6577738721489511|Robert|Potter|M|32003 Carr Trafficway Apt. 769|Berwyn|IL|60402|41.8347|-87.7914|63448|Engineer, broadcasting (operations)|1999-01-06|767589450881|young_adults_male_urban.json
507-52-3998|4163287083172781|Victoria|Larson|F|868 Merritt Summit Suite 743|Gettysburg|PA|17325|39.832|-77.2223|27619|Health and safety inspector|1961-01-23|857987636625|adults_50up_female_urban.json
497-81-3920|4143455812236231660|Erin|Owens|F|66909 Woods Knoll|Manitowoc|WI|54220|44.0971|-87.6823|40220|Hydrogeologist|1958-09-26|428437913341|adults_50up_female_urban.json
552-96-8948|3573467065627293|Joseph|Meadows|M|62720 Gray Forest|Quitman|GA|31643|30.7797|-83.5567|8709|Programme researcher, broadcasting/film/video|1978-04-04|370770979513|adults_2550_male_urban.json
285-97-6907|4708053100330923275|Michael|Elliott|M|4529 Kimberly Estates|Chesterfield|MO|63017|38.6491|-90.5358|59223|Insurance risk surveyor|1996-11-24|636119440405|adults_2550_male_urban.json
320-74-6150|6011193149190586|Jessica|Wood|F|67165 Zimmerman Mews Apt. 849|Narberth|PA|19072|40.0177|-75.2594|9539|Solicitor|1989-11-15|531608037091|adults_2550_female_urban.json
447-94-9708|4314737996507527356|Rebecca|Peterson|F|083 John Lodge Suite 837|Bronx|NY|10473|40.8194|-73.8606|1382480|Recycling officer|1989-10-26|869508288813|adults_2550_female_urban.json
096-38-3631|6011495788568554|Michael|Nelson|M|13518 James Streets Suite 498|Newport News|VA|23608|37.1526|-76.542|179275|Therapist, speech and language|1965-08-02|915259790398|adults_50up_male_urban.json
304-30-5913|4082400842710944|Julie|Alexander|F|47116 Jones Roads|Los Angeles|CA|90068|34.1156|-118.3305|2383912|Astronomer|1966-08-09|163860419795|adults_50up_female_urban.json
