ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|a236f90f50af606ad80f958c4fb1fff7|2022-09-13|04:27:38|1663036058|grocery_pos|5.71|1|fraud_Schamberger-O'Keefe|38.785386|-89.098681
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|27d517d8cfabc4ee85546bda67cbdbe2|2022-09-13|03:16:13|1663031773|grocery_pos|10.56|1|fraud_Rutherford-Mertz|39.812489|-89.374668
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|254cde7a06526fda70d15a42aba6fb0e|2022-09-13|03:54:37|1663034077|grocery_pos|333.70|1|fraud_Casper, Hand and Zulauf|39.149705|-90.275771
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|7249a5fe4dae0c39cc58ccad9cb36b4a|2022-09-13|03:08:31|1663031311|misc_net|294.91|1|fraud_Kuhn LLC|39.873428|-90.646432
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|01a5c3535d5702ad2161e23aebda1a93|2022-09-13|02:27:32|1663028852|grocery_pos|330.08|1|fraud_Barton Inc|37.965902|-89.434554
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|aae1585af97f5a018066901e8d8bc28c|2022-09-13|01:31:37|1663025497|gas_transport|309.17|1|fraud_Sporer Inc|38.396028|-90.844202
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|e3f502e4e4e2c05731dae7c582d7fab0|2022-09-13|03:50:19|1663033819|gas_transport|895.05|1|fraud_Friesen-D'Amore|38.878550|-90.445391
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|273f22447054d83ec03c593197784fee|2022-09-14|22:37:28|1663187848|shopping_pos|687.72|1|fraud_Bernhard, Grant and Langworth|39.455896|-89.225912
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|cdd38ca2b2aaa878ee2e4e0cf114470c|2022-09-14|23:33:23|1663191203|entertainment|1063.99|1|fraud_Cruickshank-Mills|39.858744|-90.842760
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|9c821c98fa4b5db91a82d7561fb37094|2022-09-14|23:51:09|1663192269|shopping_net|1256.05|1|fraud_Gerlach Inc|39.256808|-90.170976
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|d7157bc2284080f470b230da5315b1e0|2022-09-13|22:39:42|1663101582|misc_net|542.44|1|fraud_Stehr, Jewess and Schimmel|39.796491|-90.503299
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|939bcf80cee3fa4bc20faffda32d0a93|2022-09-14|22:34:23|1663187663|entertainment|565.22|1|fraud_Dibbert and Sons|38.737484|-90.218381
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|1911533c5dc1b39902b4592578d2d66a|2022-09-14|23:32:00|1663191120|entertainment|609.51|1|fraud_Kilback and Sons|38.434659|-89.404448
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|2d13cdb75052552b5c0dc123554309ab|2022-03-02|00:14:18|1646176458|gas_transport|45.87|0|fraud_Heller-Langosh|38.206056|-90.113083
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|0fca74396dca11476f8f208203148b01|2022-03-21|02:01:05|1647824465|grocery_net|43.19|0|fraud_Spinka-Welch|38.471559|-90.163246
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|df0b594fdc894111fa1fa7b56ea80fc1|2022-03-26|11:43:39|1648291419|grocery_net|67.94|0|fraud_Dicki Ltd|38.491665|-90.146103
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|8eef9a2b3b18424e79e873eac8b18326|2022-03-06|04:00:13|1646535613|grocery_net|58.12|0|fraud_Kutch-Hegmann|39.267983|-90.346367
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|39105d91d9a54d0a3557cc55ad9ed99e|2022-04-06|04:13:05|1649211185|grocery_pos|65.43|0|fraud_Kuhic Inc|38.475483|-90.748736
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|109c1f2132cd7847abd45c7f50e701df|2022-03-12|02:29:20|1647048560|grocery_net|64.67|0|fraud_Dicki Ltd|38.461903|-90.930792
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|005a035675f756f4841c8ce89cc54458|2022-02-04|06:55:03|1643954103|gas_transport|67.51|0|fraud_Zieme, Bode and Dooley|38.029693|-89.386054
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|3d84191dfd453b474531167e3778085b|2022-01-01|06:01:07|1641013267|gas_transport|53.28|0|fraud_Lind, Huel and McClure|39.490044|-90.785243
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|4e32ec5469b6f28b3203091bfcfb8b95|2022-03-11|08:59:10|1646985550|grocery_net|46.41|0|fraud_Stokes, Christiansen and Sipes|39.235772|-89.721973
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|2a467357b0be372560771ebf58929f37|2022-03-05|05:52:17|1646455937|grocery_net|70.47|0|fraud_Shields Inc|38.308685|-90.361530
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|2701ae321d00568b5b354f7065f52c32|2022-01-21|00:15:31|1642720531|gas_transport|46.82|0|fraud_Rodriguez Group|38.488188|-90.191785
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|bf7390bc320a6b6697ff600ed592fc84|2022-02-06|10:33:54|1644140034|gas_transport|64.34|0|fraud_Emard Inc|38.232971|-89.571613
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|5b8b5fb74c67279f1874aba8eb0727da|2022-03-08|03:17:42|1646705862|grocery_net|83.64|0|fraud_Wuckert-Walter|38.473496|-90.625087
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|de8ad53e978616941edb512ed6110c37|2022-03-26|06:36:24|1648272984|grocery_net|64.16|0|fraud_Spinka-Welch|38.484820|-89.418458
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|57b1a20a90cdcea3b2e9f2d947816389|2022-04-08|09:38:27|1649403507|grocery_pos|50.87|0|fraud_Rutherford-Mertz|38.718095|-90.838339
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|99d8fbb1979e9126316ca40e1d58919b|2022-03-05|00:59:25|1646438365|grocery_net|44.77|0|fraud_Gutmann Ltd|38.418220|-89.885818
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|28c7229df3c6323f838d6e156290e457|2022-01-04|10:01:02|1641286862|gas_transport|65.62|0|fraud_Friesen-Stamm|39.567469|-90.311720
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|c2fabb5f1cb60432fca40bd85bb85440|2022-01-07|03:49:30|1641523770|gas_transport|48.49|0|fraud_Jenkins, Hauck and Friesen|39.727232|-89.209022
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|682284cd00620435ce68b12a86a04776|2022-03-18|10:50:21|1647597021|grocery_net|42.72|0|fraud_Spinka Inc|38.372218|-89.894318
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|2797f562a4d4ab438d2c219c9b11ebca|2022-03-04|11:53:24|1646391204|grocery_net|42.87|0|fraud_Funk Group|39.372695|-89.061358
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|4e5e88c654499415bd93cdcfaca949fd|2022-02-25|00:35:27|1645745727|gas_transport|35.47|0|fraud_Greenholt, Jacobi and Gleason|38.714481|-90.416696
703-45-4158|501816567066|Jason|Snyder|M|97826 Jason Port|Moro|IL|62067|38.9318|-89.9618|2401|Health promotion specialist|2003-05-01|635464124288|young_adults_male_rural.json|f8ab4424a82395929fe9d30c692ca78d|2022-03-31|11:02:30|1648717350|grocery_pos|70.29|0|fraud_Bailey-Morar|38.972014|-89.902506
